Accident ID,Date,Time,Location,Latitude,Longitude,Weather Condition,Road Condition,Vehicles Involved,Casualties,Cause
b0dd6f57,2023-04-19,06:39,"Mumbai, India",13.488432,-73.290682,Snow,Snowy,5,7,Reckless Driving
debfad09,2023-01-17,02:47,"São Paulo, Brazil",-37.798317,-32.244242,Clear,Icy,4,1,Drunk Driving
6d69aa36,2024-04-09,02:55,"Sydney, Australia",33.767869,104.869018,Rain,Snowy,1,7,Reckless Driving
425bb1f0,2023-10-10,11:23,"Tokyo, Japan",-0.378031,-165.825855,Storm,Wet,4,0,Drunk Driving
90d5cf62,2023-01-02,12:07,"Beijing, China",41.254879,-30.776959,Storm,Snowy,3,9,Reckless Driving
24d3501f,2023-04-02,10:57,"Paris, France",-85.766268,-20.271304,Fog,Icy,2,6,Drunk Driving
0f1ed7d1,2023-07-11,08:34,"Mumbai, India",-24.046032,-4.414578,Clear,Under Construction,4,8,Reckless Driving
82353f3e,2024-05-26,19:06,"Mumbai, India",48.77465,-131.30627,Rain,Icy,4,5,Weather Conditions
3ab2d6f6,2023-10-23,19:47,"London, UK",-55.335689,152.606359,Fog,Wet,2,9,Reckless Driving
613638e4,2024-07-15,02:33,"Toronto, Canada",24.566435,-75.913198,Storm,Snowy,1,7,Mechanical Failure
b0b13d4b,2024-11-09,23:31,"Toronto, Canada",-59.047194,57.831011,Clear,Under Construction,1,1,Weather Conditions
8694a279,2023-09-14,20:11,"Berlin, Germany",-31.825114,-73.647462,Fog,Wet,3,9,Drunk Driving
1dfd0097,2023-01-01,17:12,"Beijing, China",1.406127,-32.244107,Hail,Icy,5,9,Weather Conditions
6c97348c,2023-01-05,18:41,"Mumbai, India",1.55188,-169.953341,Snow,Snowy,4,6,Drunk Driving
2db70f77,2024-12-07,19:24,"Toronto, Canada",49.206865,-111.184284,Hail,Gravel,3,10,Mechanical Failure
24cdeeb9,2024-08-09,23:39,"São Paulo, Brazil",-39.332739,0.991049,Fog,Under Construction,3,2,Speeding
68ab5a6b,2024-11-29,08:16,"São Paulo, Brazil",51.568285,-22.209768,Clear,Gravel,3,3,Speeding
acfb6bcc,2023-12-30,17:57,"Tokyo, Japan",-59.799586,134.326268,Snow,Icy,1,1,Speeding
552448f0,2024-07-01,19:25,"Tokyo, Japan",-19.00646,-52.779439,Rain,Gravel,5,9,Drunk Driving
d4af2e94,2023-02-03,03:04,"São Paulo, Brazil",0.520167,-170.05232,Rain,Gravel,5,3,Drunk Driving
78d1fca8,2024-07-08,10:54,"London, UK",41.583094,34.483181,Hail,Dry,5,7,Mechanical Failure
711ca10d,2023-03-06,10:17,"Beijing, China",14.023021,13.166353,Snow,Gravel,2,1,Distracted Driving
07a19dbc,2023-01-22,08:11,"Toronto, Canada",-35.515747,-65.785699,Fog,Snowy,1,4,Reckless Driving
0d628b15,2024-10-20,21:32,"Mumbai, India",-45.421121,-142.479166,Clear,Icy,2,5,Speeding
a17755ed,2024-03-26,11:37,"Tokyo, Japan",-46.1074,156.13629,Hail,Dry,2,2,Distracted Driving
87bd34a6,2024-07-24,19:32,"São Paulo, Brazil",-37.075082,-3.632071,Hail,Dry,2,4,Mechanical Failure
6f814599,2023-11-15,08:52,"Tokyo, Japan",0.564118,-96.03814,Hail,Snowy,1,10,Drunk Driving
03e3a796,2024-06-17,03:26,"Paris, France",39.311402,-103.818156,Rain,Dry,2,6,Drunk Driving
d0028b49,2024-12-14,15:40,"Mumbai, India",13.419264,-176.27762,Snow,Gravel,3,0,Mechanical Failure
25e09923,2023-04-15,15:09,"Beijing, China",-77.18038,38.151535,Hail,Wet,4,3,Distracted Driving
bed2c6c4,2024-09-17,00:34,"Beijing, China",78.721562,33.39283,Snow,Gravel,2,7,Reckless Driving
74740d58,2024-12-18,08:24,"New York, USA",-59.229291,15.139089,Storm,Under Construction,4,8,Drunk Driving
937a310d,2023-02-11,23:44,"Mumbai, India",31.585442,-81.570146,Storm,Wet,4,7,Speeding
34429537,2023-04-13,16:57,"Beijing, China",66.791916,169.892992,Storm,Dry,1,9,Mechanical Failure
32333075,2024-05-05,17:46,"New York, USA",-66.593538,22.316442,Snow,Wet,1,8,Drunk Driving
5bccf535,2024-01-01,14:27,"Toronto, Canada",-40.859514,22.640758,Clear,Icy,1,3,Mechanical Failure
33666c67,2024-11-19,04:27,"Berlin, Germany",-62.486431,-47.774334,Fog,Under Construction,5,6,Distracted Driving
858eef9e,2023-09-03,12:19,"São Paulo, Brazil",17.159559,152.596097,Hail,Gravel,1,10,Drunk Driving
eeb04951,2023-10-18,12:41,"Paris, France",63.995818,-159.438143,Clear,Dry,3,7,Reckless Driving
1db7ab91,2024-08-31,08:30,"Sydney, Australia",-20.350387,160.628329,Snow,Dry,1,0,Speeding
a6096ace,2024-03-23,05:47,"New York, USA",-22.396038,-85.316896,Snow,Icy,5,3,Drunk Driving
43138eec,2024-11-18,10:09,"Mumbai, India",3.534182,-138.286329,Fog,Icy,3,5,Weather Conditions
f1b6e814,2023-10-26,06:06,"Mumbai, India",-21.919688,-124.709878,Fog,Gravel,2,10,Mechanical Failure
84c341c6,2023-10-06,17:57,"Tokyo, Japan",61.881671,157.894619,Rain,Gravel,4,2,Weather Conditions
c2651203,2024-06-05,02:56,"London, UK",65.491629,107.589105,Rain,Icy,5,10,Distracted Driving
16bac27f,2023-07-30,15:40,"New York, USA",-57.258756,-126.27126,Hail,Icy,4,7,Speeding
37c6c4a9,2023-06-04,23:45,"Beijing, China",-55.40796,97.298605,Hail,Icy,3,7,Reckless Driving
bf023036,2024-06-15,11:50,"Berlin, Germany",15.090995,-74.124001,Rain,Icy,2,4,Reckless Driving
3c7895e3,2023-06-29,05:02,"Beijing, China",-76.277212,42.303331,Hail,Dry,5,3,Speeding
e72d1cf5,2024-11-11,23:49,"Beijing, China",-2.020858,120.77658,Fog,Dry,4,7,Mechanical Failure
aa4e6464,2024-03-06,20:07,"New York, USA",-70.376112,-45.300733,Hail,Wet,2,9,Drunk Driving
8dfdb70f,2024-09-07,06:58,"London, UK",2.131448,98.8593,Storm,Icy,4,7,Mechanical Failure
de752b5e,2024-06-02,07:25,"São Paulo, Brazil",-11.532914,118.877007,Clear,Dry,5,4,Reckless Driving
b8370c74,2023-12-31,07:05,"London, UK",5.804818,129.324357,Storm,Snowy,5,5,Distracted Driving
6625614f,2024-02-02,14:01,"Mumbai, India",34.304319,59.339816,Rain,Snowy,2,10,Reckless Driving
